year_pulled,congressional_district_name,state,fipscd,fips,hh_snap,hh_total,hh_snap_pct,hh_poverty_pct_in_snap,hh_race_aian_pct_in_snap,hh_race_asian_pct_in_snap,hh_race_black_pct_in_snap,hh_race_hisp_pct_in_snap,hh_race_nhpi_pct_in_snap,hh_race_other_pct_in_snap,hh_race_twoplus_pct_in_snap,hh_race_white_pct_in_snap,hh_60plus_pct,hh_snap_60plus,hh_snap_60plus_pct,hh_snap_children,hh_snap_children_pct,hh_snap_disabled,hh_snap_disabled_pct,hh_snap_poverty,hh_snap_poverty_pct,hh_snap_race_aian,hh_snap_race_aian_pct,hh_snap_race_asian,hh_snap_race_asian_pct,hh_snap_race_black,hh_snap_race_black_pct,hh_snap_race_hisp,hh_snap_race_hisp_pct,hh_snap_race_nhpi,hh_snap_race_nhpi_pct,hh_snap_race_other,hh_snap_race_other_pct,hh_snap_race_twoplus,hh_snap_race_twoplus_pct,hh_snap_race_white,hh_snap_race_white_pct,hh_total_60plus,hh_total_disabled,hh_total_disabled_pct,hh_total_poverty,hh_total_poverty_pct,hh_total_race_aian,hh_total_race_aian_pct,hh_total_race_asian,hh_total_race_asian_pct,hh_total_race_black,hh_total_race_black_pct,hh_total_race_hisp,hh_total_race_hisp_pct,hh_total_race_nhpi,hh_total_race_nhpi_pct,hh_total_race_other,hh_total_race_other_pct,hh_total_race_twoplus,hh_total_race_twoplus_pct,hh_total_race_white,hh_total_race_white_pct,medhhinc,state_hh_snap,state_hh_total,state_hh_snap_pct
2023,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",Puerto Rico,7298,72,596950,1277486,0.4673,0.7551,0.3994,0.3800,0.4510,0.4697,NULL,0.4864,0.4547,0.4690,0.5258,326873,0.5476,173739,0.2910,296223,0.4962,406909,0.6816,1134,0.0019,735,0.0012,32932,0.0552,594152,0.9953,NULL,NULL,192681,0.3228,232961,0.3903,136507,0.2287,671675,532881,0.4171,538866,0.4218,2839,0.0022,1934,0.0015,73028,0.0572,1264946,0.9902,NULL,NULL,396155,0.3101,512294,0.4010,291055,0.2278,25621,596950,1277486,0.4673
2023,"Congressional District 15 (118th Congress), New York",New York,3615,36,124749,286551,0.4353,0.7298,0.4084,0.2892,0.4101,0.5426,NULL,0.5401,0.5332,0.2122,0.4102,52628,0.4219,50538,0.4051,65633,0.5261,66148,0.5302,2127,0.0171,2312,0.0185,42782,0.3429,79969,0.6410,NULL,NULL,45881,0.3678,22753,0.1824,8722,0.0699,117556,113227,0.3951,90644,0.3163,5208,0.0182,7995,0.0279,104318,0.3640,147373,0.5143,NULL,NULL,84947,0.2964,42673,0.1489,41104,0.1434,44103,1267132,7809267,0.1623
2023,"Congressional District 13 (118th Congress), New York",New York,3613,36,104754,312338,0.3354,0.6496,0.4569,0.1394,0.3676,0.4442,NULL,0.4689,0.3993,0.1149,0.4069,54118,0.5166,33145,0.3164,51833,0.4948,55395,0.5288,1385,0.0132,2104,0.0201,34350,0.3279,64628,0.6170,NULL,NULL,38334,0.3659,20925,0.1998,7656,0.0731,127093,100568,0.3220,85274,0.2730,3031,0.0097,15097,0.0483,93448,0.2992,145505,0.4659,NULL,NULL,81748,0.2617,52401,0.1678,66613,0.2133,50491,1267132,7809267,0.1623
2023,"Congressional District 2 (118th Congress), Pennsylvania",Pennsylvania,4202,42,93139,294824,0.3159,0.6215,0.7432,0.2082,0.3859,0.4768,NULL,0.5670,0.3797,0.2050,0.3993,39953,0.4290,39501,0.4241,55016,0.5907,41154,0.4419,1091,0.0117,5726,0.0615,30282,0.3251,29583,0.3176,NULL,NULL,20129,0.2161,10470,0.1124,25441,0.2732,117720,110014,0.3732,66212,0.2246,1468,0.0050,27506,0.0933,78468,0.2662,62048,0.2105,NULL,NULL,35502,0.1204,27574,0.0935,124091,0.4209,56629,795490,5324209,0.1494
2023,"Congressional District 8 (118th Congress), New York",New York,3608,36,91827,299723,0.3064,0.6413,0.4184,0.2785,0.3411,0.4151,NULL,0.4275,0.3352,0.2255,0.4583,49104,0.5347,35439,0.3859,47779,0.5203,45226,0.4925,554,0.0060,5715,0.0622,41475,0.4517,20909,0.2277,NULL,NULL,11707,0.1275,10186,0.1109,22190,0.2417,137374,90536,0.3021,70527,0.2353,1324,0.0044,20522,0.0685,121600,0.4057,50373,0.1681,NULL,NULL,27385,0.0914,30387,0.1014,98409,0.3283,59764,1267132,7809267,0.1623
2023,"Congressional District 21 (118th Congress), California",California,0621,06,67587,230335,0.2934,0.5560,0.2948,0.3421,0.3634,0.3207,NULL,0.3199,0.3284,0.2262,0.3785,23099,0.3418,40603,0.6008,31346,0.4638,26618,0.3938,1462,0.0216,6728,0.0995,3897,0.0577,43892,0.6494,NULL,NULL,20958,0.3101,16460,0.2435,17879,0.2645,87186,78086,0.3390,47872,0.2078,4960,0.0215,19668,0.0854,10723,0.0466,136848,0.5941,NULL,NULL,65512,0.2844,50116,0.2176,79026,0.3431,63382,1833346,13699816,0.1338
2023,"Congressional District 13 (118th Congress), Michigan",Michigan,2613,26,88860,307843,0.2887,0.6009,0.2988,0.4065,0.4156,0.2180,NULL,0.2395,0.2458,0.1454,0.3956,32445,0.3651,36103,0.4063,44367,0.4993,47046,0.5294,496,0.0056,2580,0.0290,60139,0.6768,5082,0.0572,NULL,NULL,2432,0.0274,5297,0.0596,17916,0.2016,121793,103003,0.3346,78299,0.2543,1660,0.0054,6347,0.0206,144699,0.4700,23316,0.0757,NULL,NULL,10156,0.0330,21546,0.0700,123213,0.4002,48723,574740,4107809,0.1399
2023,"Congressional District 22 (118th Congress), California",California,0622,06,60580,216780,0.2795,0.5287,0.3857,0.1698,0.4249,0.2853,NULL,0.3193,0.2653,0.2337,0.3469,20948,0.3458,35466,0.5854,26039,0.4298,26129,0.4313,1818,0.0300,1101,0.0182,4710,0.0777,42463,0.7009,NULL,NULL,21629,0.3570,15046,0.2484,16276,0.2687,75194,66089,0.3049,49418,0.2280,4713,0.0217,6484,0.0299,11084,0.0511,148840,0.6866,NULL,NULL,67739,0.3125,56707,0.2616,69659,0.3213,59649,1833346,13699816,0.1338
2023,"Congressional District 14 (118th Congress), New York",New York,3614,36,76727,286668,0.2677,0.6010,0.4535,0.2016,0.2567,0.3786,NULL,0.4001,0.3384,0.1264,0.4140,37554,0.4894,32943,0.4294,36880,0.4807,32797,0.4275,2033,0.0265,5661,0.0738,15183,0.1979,49488,0.6450,NULL,NULL,30558,0.3983,12904,0.1682,10091,0.1315,118680,84398,0.2944,54574,0.1904,4483,0.0156,28083,0.0980,59154,0.2064,130710,0.4560,NULL,NULL,76383,0.2665,38130,0.1330,79820,0.2784,64881,1267132,7809267,0.1623
2023,"Congressional District 34 (118th Congress), Texas",Texas,4834,48,65313,250468,0.2608,0.5144,0.1239,NULL,0.2220,0.2910,NULL,0.3062,0.2828,0.2243,0.3914,23723,0.3632,40479,0.6198,27970,0.4282,31763,0.4863,209,0.0032,NULL,NULL,279,0.0043,63253,0.9685,NULL,NULL,7785,0.1192,37140,0.5686,19900,0.3047,98024,77476,0.3093,61752,0.2465,1687,0.0067,NULL,NULL,1257,0.0050,217360,0.8678,NULL,NULL,25425,0.1015,131330,0.5243,88718,0.3542,51228,1266469,11260645,0.1125
