Year,Neighborhood Tabulation Area NTA),Neighborhood Tabulation Area (NTA) Name,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Percentage,Weighted Score,Rank,Borough
2024,BK1803,Canarsie,-4344540.07224679,0.07,0.07,0.13,1.92707467087063,196.0,Brooklyn
2024,QN1202,South Jamaica,-3624177.96303293,0.14,0.16,0.17,2.86053587298237,191.0,Queens
2024,QN0105,Queensbridge-Ravenswood-Dutch Kills,-3566186.43251545,0.18,0.07,0.17,2.26062880472134,194.0,Queens
2024,QN0902,Richmond Hill,-3433385.7515283,0.14,0.07,0.2,1.49566636254472,197.0,Queens
2024,BK1801,Flatlands,-3301778.41863855,0.07,0.07,0.13,2.32450038655162,193.0,Brooklyn
2024,QN1205,St. Albans,-2915128.01474173,0.08,0.05,0.12,2.10247606991815,195.0,Queens
2024,BK0302,Bedford-Stuyvesant (East),-2465969.34667815,0.17,0.09,0.1,3.48318896302425,188.0,Brooklyn
2024,BK1601,Ocean Hill,-2263522.13979413,0.17,0.08,0.12,3.45570977506833,189.0,Brooklyn
2024,BX0301,Morrisania,-2036951.75989845,0.3,0.16,0.13,3.93699070245522,180.0,Bronx
2024,QN1201,Jamaica,-1998551.20158282,0.13,0.09,0.24,3.91199689405542,181.0,Queens
2024,SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,-1901957.71970985,0.09,0.07,0.14,2.81165851006605,192.0,Staten Island
2024,QN1303,Queens Village,-1630960.15613106,0.09,0.09,0.15,3.55031862920083,186.0,Queens
2024,BX0102,Melrose,-1576499.34767778,0.23,0.11,0.14,4.71160863379103,129.0,Bronx
2024,BK0502,East New York (North),-1531324.22182132,0.16,0.1,0.14,4.07825294278244,177.0,Brooklyn
2024,BX0202,Longwood,-1465609.1685942,0.21,0.17,0.15,4.21789943266233,171.0,Bronx
2024,BK1703,East Flatbush-Rugby,-1378230.14621335,0.1,0.07,0.16,4.18885599973698,173.0,Brooklyn
2024,QN1206,Hollis,-1299442.22510311,0.09,0.08,0.15,3.74604514113853,184.0,Queens
2024,QN1305,Laurelton,-1292530.65992445,0.03,0.05,0.11,3.05673636110581,190.0,Queens
2024,MN1001,Harlem (South),-1234395.68231273,0.15,0.07,0.12,3.77843752010151,182.0,Manhattan
2024,BK0501,Cypress Hills,-1169838.36843192,0.14,0.05,0.17,4.17760534385923,174.0,Brooklyn
2024,BK1704,East Flatbush-Remsen Village,-1164065.29265666,0.14,0.11,0.17,4.64585118345577,137.0,Brooklyn
2024,QN1204,Springfield Gardens (North)-Rochdale Village,-1134213.38606401,0.07,0.07,0.1,4.28061373729213,168.0,Queens
2024,BK1702,East Flatbush-Farragut,-1049432.58465141,0.09,0.09,0.17,4.54085742361179,149.0,Brooklyn
2024,QN1203,Baisley Park,-925195.805818841,0.09,0.1,0.15,4.58906538508939,144.0,Queens
2024,BK0505,East New York-City Line,-887950.638466444,0.15,0.06,0.13,4.38753256638439,160.0,Brooklyn
2024,QN1304,Cambria Heights,-846873.303749151,0.03,0.05,0.12,3.49770690214809,187.0,Queens
2024,BK1701,East Flatbush-Erasmus,-737794.082322929,0.12,0.07,0.16,4.62580054549643,139.0,Brooklyn
2024,SI0106,Port Richmond,-731251.975010902,0.13,0.09,0.15,4.15646402557667,175.0,Staten Island
2024,BX0201,Hunts Point,-692814.927679273,0.26,0.14,0.16,4.72670824471594,128.0,Bronx
2024,MN1203,Inwood,-668489.476361266,0.14,0.08,0.17,4.29628999172088,167.0,Manhattan
2024,BK0902,Prospect Lefferts Gardens-Wingate,-560297.638009079,0.12,0.06,0.13,4.67830844968363,133.0,Brooklyn
2024,QN0203,Woodside,-557992.67688697,0.15,0.05,0.33,3.77282595537474,183.0,Queens
