Year,Afghanistan,Myanmar,Somalia,Sudan
1988,12853.0,,171.0,
1989,12196.0,,264.0,21.0
1990,11488.0,13.0,446.0,44.0
1991,10388.0,27.0,739.0,98.0
1992,8686.0,104.0,2416.0,284.0
1993,7728.0,240.0,5207.0,661.0
1994,6169.0,402.0,8784.0,2109.0
1995,4992.0,642.0,11414.0,4223.0
1996,3804.0,810.0,18201.0,5132.0
1997,2651.0,1135.0,22613.0,5566.0
1998,1872.0,1508.0,24419.0,6922.0
1999,2587.0,2079.0,27874.0,8366.0
2000,4322.0,3006.0,34005.0,10754.0
2001,7426.0,5268.0,33750.0,16430.0
2002,8932.0,5551.0,28693.0,17215.0
2003,9601.0,4789.0,25421.0,17309.0
2004,9778.0,5342.0,31110.0,17994.0
2005,8831.0,6793.0,34207.0,16363.0
2006,13242.0,11639.0,72546.0,28123.0
2007,2365.0,5334.0,12224.0,3725.0
2008,2102.0,5171.0,10154.0,3327.0
2009,1711.0,5021.0,7112.0,2915.0
2010,1364.0,4751.0,4513.0,2337.0
2011,1103.0,3164.0,2996.0,1857.0
2012,1017.0,2739.0,2412.0,1427.0
2013,1071.0,2471.0,2310.0,1364.0
2014,1210.0,2204.0,2263.0,1347.0
2015,1361.0,1999.0,2313.0,1362.0
2016,1466.0,1751.0,2319.0,1383.0
2017,1564.0,1623.0,2297.0,1382.0
2018,1599.0,1553.0,2231.0,1411.0
2019,1629.0,1429.0,1971.0,1441.0
2020,1592.0,1272.0,1698.0,1412.0
2021,1574.0,1235.0,1606.0,1380.0
