Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Refugees,Returned Refugees,Asylum Seekers,IDPs,Returned IDPs,Stateless,HST,OOC
1988,United States of America,Russian Federation,USA,RUS,26486,0,0,0,0,0,0,0
1989,United States of America,Russian Federation,USA,RUS,65381,0,0,0,0,0,0,0
1990,United States of America,Russian Federation,USA,RUS,115686,0,0,0,0,0,0,0
1991,United States of America,Russian Federation,USA,RUS,153658,0,0,0,0,0,0,0
1992,United States of America,Russian Federation,USA,RUS,211661,0,0,0,0,0,0,0
1993,United States of America,Russian Federation,USA,RUS,240641,0,0,0,0,0,0,0
1994,United States of America,Russian Federation,USA,RUS,245238,0,0,0,0,0,0,0
1995,United States of America,Russian Federation,USA,RUS,194956,0,0,0,0,0,0,0
1996,United States of America,Russian Federation,USA,RUS,156844,0,0,0,0,0,0,0
1997,United States of America,Russian Federation,USA,RUS,188083,0,0,0,0,0,0,0
1998,United States of America,Russian Federation,USA,RUS,162724,0,0,0,0,0,0,0
1999,United States of America,Russian Federation,USA,RUS,7999,0,0,0,0,0,0,0
2000,United States of America,Russian Federation,USA,RUS,11916,0,2367,0,0,0,0,0
2001,United States of America,Russian Federation,USA,RUS,16294,0,2406,0,0,0,0,0
2002,United States of America,Russian Federation,USA,RUS,18499,0,2523,0,0,0,0,0
2003,United States of America,Russian Federation,USA,RUS,18964,0,2447,0,0,0,0,0
2004,United States of America,Russian Federation,USA,RUS,15890,0,2435,0,0,0,0,0
2005,United States of America,Russian Federation,USA,RUS,18812,0,2898,0,0,0,0,0
2006,United States of America,Russian Federation,USA,RUS,86913,0,2238,0,0,0,0,0
2007,United States of America,Russian Federation,USA,RUS,7915,0,1348,0,0,0,0,0
2008,United States of America,Russian Federation,USA,RUS,7652,0,1478,0,0,0,0,0
2009,United States of America,Russian Federation,USA,RUS,7433,0,1435,0,0,0,0,0
2010,United States of America,Russian Federation,USA,RUS,7043,0,129,0,0,0,0,0
2011,United States of America,Russian Federation,USA,RUS,6863,0,256,0,0,0,0,0
2012,United States of America,Russian Federation,USA,RUS,6714,0,386,0,0,0,0,0
2013,United States of America,Russian Federation,USA,RUS,6461,0,1096,0,0,0,0,0
2014,United States of America,Russian Federation,USA,RUS,6163,0,2452,0,0,0,0,0
2015,United States of America,Russian Federation,USA,RUS,5905,0,3767,0,0,0,0,0
2016,United States of America,Russian Federation,USA,RUS,5503,0,5511,0,0,0,0,0
2017,United States of America,Russian Federation,USA,RUS,5463,0,7980,0,0,0,0,0
2018,United States of America,Russian Federation,USA,RUS,5813,0,8901,0,0,0,0,0
2019,United States of America,Russian Federation,USA,RUS,6702,0,10194,0,0,0,0,0
2020,United States of America,Russian Federation,USA,RUS,6530,0,12806,0,0,0,0,0
2021,United States of America,Russian Federation,USA,RUS,6718,0,21873,0,0,0,0,0
2022,United States of America,Russian Federation,USA,RUS,7675,0,38366,0,0,0,0,0
2023,United States of America,Russian Federation,USA,RUS,9777,0,74236,0,0,0,0,0
2024,United States of America,Russian Federation,USA,RUS,12132,0,83631,0,0,0,0,0
